LINEID,DRAWORD,POINT_X,POINT_Y
26, 1975, 474068.145226, 4975087.889
26, 1976, 476672.452925, 4975087.889
26, 1977, 476672.452925, 4978459.45848
26, 1978, 474068.145226, 4978459.45848
26, 1979, 474068.145226, 4978459.45848
26, 1980, 474068.145226, 4975087.889
26, 1981, 476672.452925, 4975087.889
26, 1982, 476672.452925, 4978459.45848
26, 1983, 474068.145226, 4978459.45848
26, 1984, 475160.933795, 4978508.48397
26, 1985, 475140.506118, 4978325.65748
26, 1986, 475126.208489, 4978326.67965
26, 1987, 475112.932606, 4978327.70012
26, 1988, 475103.7403, 4978325.65748
26, 1989, 475093.527526, 4978322.59352
26, 1990, 475083.314751, 4978317.48734
26, 1991, 475075.144617, 4978307.27244
26, 1992, 475034.291391, 4978320.5513
26, 1993, 475017.950697, 4978325.65748
26, 1994, 474985.269734, 4978378.76909
26, 1995, 474957.694519, 4978397.15413
26, 1996, 474930.121007, 4978401.24026
26, 1997, 474901.52277, 4978390.00532
26, 1998, 474878.034538, 4978374.68424
26, 1999, 474854.544178, 4978350.17043
26, 2000, 474836.161269, 4978315.44385
26, 2001, 474819.820575, 4978272.54586
27, 2003, 474812.670909, 4978261.31091
27, 2004, 474819.820575, 4978272.54586
28, 2006, 474809.6078, 4978257.22563
28, 2007, 474812.670909, 4978261.31091
29, 2009, 474803.478178, 4978248.0329
29, 2010, 474809.6078, 4978257.22563
30, 2012, 475687.921723, 4978002.90248
30, 2013, 475697.114454, 4977994.73107
30, 2014, 475712.432552, 4977994.73107
30, 2015, 475732.860228, 4978002.90248
30, 2016, 475752.263606, 4978014.13743
30, 2017, 475772.689155, 4978035.58643
30, 2018, 475801.286966, 4978079.50531
30, 2019, 475815.585021, 4978109.12572
30, 2020, 475820.690344, 4978129.5534
30, 2021, 475817.627235, 4978147.93843
30, 2022, 475807.414461, 4978158.15121
30, 2023, 475795.159472, 4978161.21602
30, 2024, 475771.668686, 4978149.98107
30, 2025, 475747.158283, 4978129.5534
30, 2026, 475719.582643, 4978091.762
30, 2027, 475696.092283, 4978050.9075
30, 2028, 475690.986959, 4978037.62907
30, 2029, 475685.879508, 4978021.28752
30, 2030, 475687.921723, 4978002.90248
31, 2032, 474812.670909, 4978261.31091
31, 2033, 474822.883684, 4978250.07554
31, 2034, 474834.118629, 4978241.90455
31, 2035, 474845.351447, 4978231.69178
31, 2036, 474851.479367, 4978223.52037
31, 2037, 474858.629458, 4978213.30632
31, 2038, 474875.991898, 4978199.00656
31, 2039, 474888.247312, 4978188.79379
31, 2040, 474904.588007, 4978175.51492
31, 2041, 474922.970916, 4978156.10857
31, 2042, 474929.09841, 4978148.95975
31, 2043, 474936.248501, 4978143.8523
31, 2044, 474946.461276, 4978129.5534
31, 2045, 474954.63141, 4978120.36067
31, 2046, 474965.864654, 4978115.25322
31, 2047, 474979.142239, 4978110.14704
31, 2048, 474989.355014, 4978099.93299
31, 2049, 475000.589959, 4978089.71936
31, 2050, 475009.780563, 4978078.48442
31, 2051, 475019.993337, 4978067.24905
31, 2052, 475037.356203, 4978052.95014
31, 2053, 475047.568977, 4978046.82137
31, 2054, 475059.824391, 4978044.77873
31, 2055, 475070.037166, 4978043.75784
31, 2056, 475080.24994, 4978038.65039
31, 2057, 475088.420075, 4978033.54379
31, 2058, 475097.612806, 4978031.50029
31, 2059, 475104.762471, 4978029.45765
31, 2060, 475115.995715, 4978026.39369
31, 2061, 475136.421264, 4978028.43633
31, 2062, 475153.784129, 4978029.45765
31, 2063, 475167.061715, 4978032.52247
31, 2064, 475179.317129, 4978031.50029
31, 2065, 475196.677441, 4978027.41501
31, 2066, 475227.317893, 4978019.24488
31, 2067, 475262.041496, 4978014.13743
31, 2068, 475283.489641, 4978008.00993
31, 2069, 475298.807739, 4978005.96602
31, 2070, 475315.148008, 4978001.88116
31, 2071, 475331.490405, 4977989.6249
31, 2072, 475343.745819, 4977979.41085
31, 2073, 475356.001234, 4977973.28208
31, 2074, 475366.214008, 4977969.19722
31, 2075, 475373.361972, 4977967.15458
31, 2076, 475384.596917, 4977968.17462
31, 2077, 475386.639557, 4977954.89704
32, 2079, 475386.639557, 4977954.89704
32, 2080, 475371.319332, 4977954.89704
32, 2081, 475359.063917, 4977952.8544
32, 2082, 475343.745819, 4977951.83308
32, 2083, 475324.340739, 4977951.83308
32, 2084, 475310.042685, 4977954.89704
32, 2085, 475297.78727, 4977955.91921
32, 2086, 475281.447001, 4977955.91921
32, 2087, 475256.934045, 4977953.87572
32, 2088, 475241.615947, 4977951.83308
32, 2089, 475226.295721, 4977948.76954
32, 2090, 475213.020264, 4977946.7269
32, 2091, 475202.805361, 4977946.7269
32, 2092, 475178.294533, 4977947.74822
32, 2093, 475160.933795, 4977952.8544
32, 2094, 475150.72102, 4977958.98317
32, 2095, 475138.463904, 4977972.26076
32, 2096, 475135.400795, 4977980.43217
32, 2097, 475129.2733, 4977989.6249
32, 2098, 475124.165849, 4977997.79503
32, 2099, 475112.932606, 4978006.98734
32, 2100, 475101.69766, 4978013.11611
32, 2101, 475088.420075, 4978021.28752
32, 2102, 475075.144617, 4978025.37237
32, 2103, 475062.889203, 4978028.43633
32, 2104, 475051.653831, 4978033.54379
32, 2105, 475040.421014, 4978040.6926
32, 2106, 475013.865843, 4978062.14287
32, 2107, 474994.462465, 4978074.39914
32, 2108, 474975.056959, 4978091.762
32, 2109, 474960.75933, 4978104.01827
32, 2110, 474941.353825, 4978121.38199
32, 2111, 474922.970916, 4978142.83098
32, 2112, 474899.480556, 4978169.38615
32, 2113, 474879.055007, 4978188.79379
32, 2114, 474860.671672, 4978203.09269
32, 2115, 474848.416684, 4978213.30632
32, 2116, 474838.203909, 4978227.60522
32, 2117, 474824.925898, 4978238.84059
32, 2118, 474815.73572, 4978249.05422
32, 2119, 474809.6078, 4978257.22563
33, 2121, 475718.560472, 4977916.08518
33, 2122, 475728.774948, 4977926.29923
33, 2123, 475755.328417, 4977937.53417
33, 2124, 475802.307009, 4977957.96185
33, 2125, 475843.160235, 4977977.36736
33, 2126, 475887.074442, 4977983.49613
33, 2127, 475934.055162, 4977984.51745
33, 2128, 475980.013711, 4977981.45349
33, 2129, 476011.674631, 4977974.3034
33, 2130, 476019.844765, 4977968.17462
33, 2131, 476015.759485, 4977958.98317
33, 2132, 475994.311765, 4977935.49153
33, 2133, 475962.650845, 4977899.74278
33, 2134, 475934.055162, 4977877.27246
33, 2135, 475893.201936, 4977857.86611
33, 2136, 475846.223344, 4977855.82389
33, 2137, 475815.585021, 4977858.88743
33, 2138, 475788.009381, 4977865.0162
33, 2139, 475754.306246, 4977882.37906
33, 2140, 475723.667923, 4977905.87155
33, 2141, 475718.560472, 4977916.08518
34, 2143, 474812.670909, 4978261.31091
34, 2144, 474811.65044, 4978268.46058
34, 2145, 474809.6078, 4978276.63199
34, 2146, 474813.69308, 4978291.95221
34, 2147, 474825.948495, 4978314.42253
34, 2148, 474842.288764, 4978345.06383
34, 2149, 474861.692141, 4978366.51283
