POLYID,DRAWORD,POINT_X,POINT_Y
1, 1, 475160.933795, 4978508.48397
1, 2, 475140.506118, 4978325.65748
1, 3, 475126.208489, 4978326.67965
1, 4, 475112.932606, 4978327.70012
1, 5, 475103.7403, 4978325.65748
1, 6, 475093.527526, 4978322.59352
1, 7, 475083.314751, 4978317.48734
1, 8, 475075.144617, 4978307.27244
1, 9, 475034.291391, 4978320.5513
1, 10, 475017.950697, 4978325.65748
1, 11, 474985.269734, 4978378.76909
1, 12, 474957.694519, 4978397.15413
1, 13, 474930.121007, 4978401.24026
1, 14, 474901.52277, 4978390.00532
1, 15, 474878.034538, 4978374.68424
1, 16, 474854.544178, 4978350.17043
1, 17, 474836.161269, 4978315.44385
1, 18, 474819.820575, 4978272.54586
1, 19, 474812.670909, 4978261.31091
1, 20, 474811.65044, 4978268.46058
1, 21, 474809.6078, 4978276.63199
1, 22, 474813.69308, 4978291.95221
1, 23, 474825.948495, 4978314.42253
1, 24, 474842.288764, 4978345.06383
1, 25, 474861.692141, 4978366.51283
1, 26, 474888.247312, 4978387.96183
1, 27, 474917.863465, 4978409.41082
1, 28, 474962.80197, 4978472.73607
1, 29, 474970.972105, 4978515.63406
1, 30, 474960.75933, 4978559.55295
1, 31, 474949.523959, 4978576.91709
1, 32, 474931.14105, 4978591.216
1, 33, 474920.928276, 4978613.68716
1, 34, 474911.73597, 4978627.98607
1, 35, 475168.081758, 4978627.98607
2, 37, 474555.304227, 4978627.98607
2, 38, 474558.367336, 4978625.94258
2, 39, 474568.58011, 4978621.8573
2, 40, 474578.792885, 4978617.77202
2, 41, 474578.792885, 4978612.66499
2, 42, 474570.622325, 4978603.47226
2, 43, 474565.517001, 4978595.30213
2, 44, 474538.963958, 4978574.87445
2, 45, 474525.686372, 4978571.80964
2, 46, 474513.430958, 4978574.87445
2, 47, 474480.749995, 4978585.08808
2, 48, 474448.066903, 4978594.27953
2, 49, 474432.748806, 4978602.45222
2, 50, 474412.322406, 4978604.49443
2, 51, 474377.597951, 4978604.49443
2, 52, 474356.151082, 4978606.53707
2, 53, 474341.853028, 4978610.62235
2, 54, 474308.149893, 4978612.66499
2, 55, 474273.42629, 4978603.47226
2, 56, 474249.93593, 4978583.04458
2, 57, 474238.701836, 4978563.63908
2, 58, 474229.510381, 4978541.16919
2, 59, 474225.425101, 4978511.54878
2, 60, 474233.595661, 4978475.80088
2, 61, 474241.765796, 4978448.22354
2, 62, 474262.191345, 4978425.75322
2, 63, 474307.128573, 4978406.34686
2, 64, 474358.193297, 4978378.76909
2, 65, 474405.173166, 4978387.96183
2, 66, 474447.04686, 4978402.26073
2, 67, 474466.450238, 4978401.24026
2, 68, 474479.727823, 4978399.19677
2, 69, 474485.855318, 4978393.06928
2, 70, 474486.877489, 4978386.94051
2, 71, 474483.812678, 4978378.76909
2, 72, 474471.557689, 4978373.66292
2, 73, 474457.259635, 4978366.51283
2, 74, 474429.683995, 4978351.1926
2, 75, 474379.640166, 4978323.61484
2, 76, 474359.214617, 4978304.20848
2, 77, 474350.023162, 4978290.93089
2, 78, 474350.023162, 4978273.56718
2, 79, 474355.129762, 4978248.0329
2, 80, 474361.257257, 4978219.43424
2, 81, 474359.214617, 4978177.55756
2, 82, 474352.065802, 4978157.13116
2, 83, 474344.916988, 4978147.93843
2, 84, 474338.789068, 4978143.8523
2, 85, 474328.576293, 4978144.87362
2, 86, 474317.341348, 4978152.02371
2, 87, 474292.830519, 4978162.23734
2, 88, 474275.46893, 4978163.25866
2, 89, 474259.127385, 4978156.10857
2, 90, 474243.808436, 4978140.78834
2, 91, 474227.467741, 4978119.33935
2, 92, 474218.276287, 4978094.82554
2, 93, 474219.297607, 4978072.35565
2, 94, 474224.403781, 4978060.09896
2, 95, 474235.637876, 4978042.73652
2, 96, 474252.99989, 4978020.26492
2, 97, 474272.40497, 4978008.00993
2, 98, 474310.192533, 4977992.68843
2, 99, 474350.023162, 4977968.17462
2, 100, 474368.406071, 4977944.68426
2, 101, 474390.875537, 4977914.04169
2, 102, 474413.343726, 4977898.72146
2, 103, 474439.896769, 4977882.37906
2, 104, 474461.344489, 4977875.23025
2, 105, 474499.132903, 4977865.0162
2, 106, 474550.196776, 4977855.82389
2, 107, 474597.177921, 4977848.6738
2, 108, 474640.071659, 4977847.65248
2, 109, 474683.987568, 4977851.73861
